26 , 35 , 16 , 32 , 17 , 5 , 33 , 54 , 48 , 31 , 12 , 29 
8 , 40 , 44 , 25 , 51 , 46 , 22 , 38 , 34 , 41 , 53 , 43 
26 , 34 , 31 , 53 , 33 , 36 , 24 , 40 , 17 , 52 , 12 , 25 
14 , 27 , 29 , 6 , 20 , 56 , 12 , 55 , 5 , 48 , 51 , 1 
40 , 39 , 6 , 5 , 23 , 44 , 18 , 50 , 56 , 49 , 12 , 52 
3 , 26 , 30 , 14 , 51 , 40 , 13 , 4 , 16 , 48 , 31 , 24 
44 , 34 , 40 , 11 , 20 , 30 , 4 , 35 , 26 , 24 , 7 , 8 
17 , 30 , 4 , 44 , 10 , 12 , 6 , 49 , 52 , 38 , 55 , 19 
48 , 56 , 36 , 15 , 12 , 39 , 21 , 40 , 49 , 5 , 42 , 52 
24 , 50 , 7 , 5 , 47 , 4 , 9 , 34 , 48 , 51 , 31 , 46 
7 , 40 , 31 , 13 , 25 , 55 , 1 , 53 , 18 , 29 , 44 , 35 
9 , 56 , 1 , 21 , 22 , 5 , 10 , 45 , 52 , 7 , 40 , 42 
2 , 34 , 47 , 17 , 40 , 52 , 55 , 20 , 14 , 50 , 5 , 44 
13 , 7 , 20 , 10 , 6 , 45 , 49 , 37 , 4 , 36 , 43 , 5 
39 , 42 , 27 , 16 , 30 , 34 , 50 , 19 , 22 , 56 , 49 , 10 
50 , 16 , 8 , 1 , 41 , 27 , 25 , 43 , 5 , 21 , 4 , 34 
5 , 1 , 14 , 42 , 6 , 46 , 20 , 54 , 52 , 51 , 34 , 13 
14 , 35 , 12 , 46 , 48 , 34 , 23 , 40 , 5 , 54 , 28 , 24 
34 , 8 , 39 , 14 , 54 , 5 , 25 , 37 , 19 , 51 , 12 , 28 
35 , 2 , 29 , 37 , 23 , 40 , 26 , 31 , 15 , 6 , 1 , 27 
1 , 8 , 45 , 20 , 22 , 5 , 7 , 14 , 32 , 43 , 34 , 19 
38 , 29 , 31 , 22 , 41 , 19 , 21 , 28 , 45 , 36 , 20 , 17 
20 , 49 , 7 , 54 , 18 , 38 , 11 , 14 , 40 , 5 , 19 , 26 
44 , 26 , 45 , 49 , 17 , 48 , 25 , 24 , 10 , 18 , 55 , 43 
40 , 6 , 55 , 19 , 24 , 54 , 44 , 37 , 12 , 13 , 15 , 33 
